feature,importance
total_feed,0.19292288136475327
area,0.17481304014292662
morning_pH_mean,0.06732512975644446
morning_salinity_mean,0.03777450220982739
morning_pH_max,0.025382889842696252
morning_do_min,0.02360490195961139
evening_temperature_max,0.019037613549392318
evening_do_mean,0.01849146423301542
evening_pH_mean,0.018149703633572403
evening_temperature_mean,0.01772871634591309
evening_do_max,0.01739383731549866
alkalinity_max,0.016735788941416564
evening_do_min,0.016289291517382686
morning_temperature_max,0.016026411671563167
morning_pH_min,0.015967800021494734
morning_temperature_mean,0.015909754166356094
evening_temperature_min,0.015670893195803646
tom_mean,0.015545418110315198
morning_temperature_min,0.015188200572716961
morning_do_max,0.014797691617731944
morning_salinity_min,0.014599077696998447
morning_do_mean,0.014226391201245648
morning_salinity_max,0.013705734101527096
tom_max,0.013422220680423756
evening_pH_max,0.013246227511609678
transparency_mean,0.01279685567438535
evening_salinity_min,0.011808790503681735
evening_salinity_max,0.011395586113366232
evening_pH_min,0.010662727498354119
evening_salinity_mean,0.009295887054678157
transparency_min,0.008294070540393774
transparency_max,0.007986043463491042
total_plankton__min,0.007829293986121588
ammonia_mean,0.007394758903366086
alkalinity_mean,0.006884531709311136
alkalinity_min,0.0059414642261500965
bicarbonate_mean,0.005435036549207192
tom_min,0.004999259630310881
nitrite_mean,0.004762717430816797
bicarbonate_max,0.00457680679378364
carbonate_mean,0.004468147877241071
total_plankton__mean,0.003762536530914079
total_plankton__max,0.003670308197696137
hardness_max,0.003559067429245941
nitrite_max,0.003421242298414994
nitrite_min,0.0032338292499369467
bicarbonate_min,0.0030937963519828116
calcium_max,0.0030061446197170998
magnesium_min,0.0028146756323984452
magnesium_max,0.0027007410791309943
ammonia_max,0.0025400726034213107
magnesium_mean,0.002452283036956141
hardness_min,0.0022290418578386926
carbonate_min,0.0022068266928687193
calcium_mean,0.0019663772803818883
carbonate_max,0.0019424727341101995
calcium_min,0.0019009810263967244
nitrate_mean,0.0016928691258432495
hardness_mean,0.0016714421856463115
ammonia_min,0.0016386872012981207
nitrate_min,0.000771169422605055
nitrate_max,0.0007255894060047412
turbidity_mean,0.00024272590982716207
turbidity_min,0.00023055564834377452
turbidity_max,3.9005164124727064e-05
